price,link,number_of_rooms,area,floor,district,address
132000000,https://krisha.kz/a/show/1000202717,4,203.5,4,Есильский р-н, Акмешит
132000000,https://krisha.kz/a/show/1000186347,3,130.0,9,Алматы р-н, Шамши Калдаяков 8/2
132000000,https://krisha.kz/a/show/760496350,4,203.5,4,Есильский р-н, Акмешит 19/1 — Улы Дала
132000000,https://krisha.kz/a/show/760927039,4,133.0,8,Нура р-н, Толе би 48/1 — ЕК-32
132000000,https://krisha.kz/a/show/760496350,4,203.5,4,Есильский р-н, Акмешит 19/1 — Улы Дала
131999999,https://krisha.kz/a/show/760521703,4,205.0,4,Есильский р-н, Акмешит 19/1
131500000,https://krisha.kz/a/show/1000203275,3,133.0,8,Есильский р-н, Туран
130200000,https://krisha.kz/a/show/690129722,5,186.0,5,Нура р-н, Туран 71
130000000,https://krisha.kz/a/show/761040710,4,224.0,2,Алматы р-н, Сарыкенгир 1/1
130000000,https://krisha.kz/a/show/1000163839,3,105.0,13,Есильский р-н, Достык 1/2
130000000,https://krisha.kz/a/show/761203213,4,133.5,8,Есильский р-н, Гейдар Алиева 2
130000000,https://krisha.kz/a/show/1000187925,3,127.0,10,Есильский р-н, Гейдар Алиева 2 — Бухар Жырау
130000000,https://krisha.kz/a/show/761816382,4,146.0,2,Есильский р-н, Е-899 1/1
130000000,https://krisha.kz/a/show/761031059,4,135.39,7,Нура р-н, мкр Уркер
130000000,https://krisha.kz/a/show/695658744,5,160.0,6,Есильский р-н, Е-809 1 — Элегантная и роскошная!
130000000,https://krisha.kz/a/show/698572377,4,168.0,3,Алматы р-н, Шарля де Голля — Амман
130000000,https://krisha.kz/a/show/760729518,4,116.9,14,Есильский р-н, Туран 5
130000000,https://krisha.kz/a/show/760494114,5,136.4,9,Есильский р-н, Бухар Жырау 27
130000000,https://krisha.kz/a/show/761668512,4,160.0,8,Алматы р-н, Кошкарбаева 8 — Интерфуд
130000000,https://krisha.kz/a/show/761844432,4,135.0,2,Есильский р-н, мкр Комсомольский 8
130000000,https://krisha.kz/a/show/762265275,4,111.0,13,Алматы р-н, Шамши Калдаяков 8
130000000,https://krisha.kz/a/show/761201197,4,133.5,8,Есильский р-н, Бухар жырау 20 — Ботанический сад
130000000,https://krisha.kz/a/show/761399398,3,131.0,3,Есильский р-н, Сарайшык 34а — Байтерек
130000000,https://krisha.kz/a/show/762260895,3,140.0,3,Есильский р-н, Кабанбай батыра 2/7 — Возле моста на набережной Ишим
130000000,https://krisha.kz/a/show/760461243,3,98.0,7,Есильский р-н, Туркестан 28/1
130000000,https://krisha.kz/a/show/762186203,4,146.0,5,р-н Байконур, Ташенова 8 — Парк Ататюрк . Набережная
130000000,https://krisha.kz/a/show/761047493,5,185.0,5,Алматы р-н, Касым Аманжолов 22 — Национальный музей и Пирамида
129900000,https://krisha.kz/a/show/761828571,7,300.0,18,Алматы р-н, Момышулы 2 — Момышулы-Кошкарбаева-Сарайшык
129002400,https://krisha.kz/a/show/762053110,4,157.32,5,Есильский р-н, Турар Рыскулов 3
129000000,https://krisha.kz/a/show/1000215687,5,145.0,5,Нура р-н, Улы Дала 29/1 — Толе Би
129000000,https://krisha.kz/a/show/1000138415,7,300.0,18,Алматы р-н, Момышулы — Кошкарбаева
129000000,https://krisha.kz/a/show/761798842,4,224.0,4,Есильский р-н, Орынбор
129000000,https://krisha.kz/a/show/1000157413,4,227.0,5,Есильский р-н, Орынбор 24
129000000,https://krisha.kz/a/show/1000218217,5,145.0,5,Нура р-н, Улы Дала 25
129000000,https://krisha.kz/a/show/694066104,3,123.0,5,Есильский р-н, Сарайшык 4 — Кабанбай батыра
128000000,https://krisha.kz/a/show/699298453,4,157.0,11,Алматы р-н, Жумекен Нажимеденов
128000000,https://krisha.kz/a/show/760461595,4,151.0,2,Есильский р-н, Бухар жырау 26
128000000,https://krisha.kz/a/show/696116389,4,196.0,2,Нура р-н, Аягоз 1 — Коргалжынское шоссе
127000000,https://krisha.kz/a/show/761439654,3,113.0,4,Нура р-н, Толе би 52
127000000,https://krisha.kz/a/show/761817829,4,157.0,6,Есильский р-н, Турар Рыскулов 3 — Бизнес +
127000000,https://krisha.kz/a/show/762319589,5,160.0,6,Есильский р-н, Туркестан
127000000,https://krisha.kz/a/show/762319589,5,160.0,6,Есильский р-н, Туркестан
127000000,https://krisha.kz/a/show/762283253,4,154.0,9,Есильский р-н, Аль-Фараби 1
126500000,https://krisha.kz/a/show/760062913,4,136.0,10,Нура р-н, Е-899 1/1
125999999,https://krisha.kz/a/show/761674772,4,132.0,3,Есильский р-н, Толе би 50 — Хан-Шатыр
125802000,https://krisha.kz/a/show/1000170914,3,217.0,5,Нура р-н, Карашаш ана 21
125802000,https://krisha.kz/a/show/687616232,3,216.9,5,Нура р-н, Кыз Жибек — Г. Астана
125800000,https://krisha.kz/a/show/761474188,5,180.0,3,Алматы р-н, Касым Аманжолов 22
125800000,https://krisha.kz/a/show/761474188,5,180.0,3,Алматы р-н, Касым Аманжолов 22
